status_id,user_id,status_text,truncated,is_quote,geo,created_at,retweeted_status_id,retweeted_user_id,retweeted_user_screen_name,reply_status_id,reply_user_id,screen_names,is_q,is_bot,avg_fact_score,opinion_community
1.36322E+18,8.36634E+17,"RT @Eric_OTooleMP: @globeandmail Thank you @globeandmail for both siding this. We all know it really happened, but thanks to your pathetic…",FALSE,FALSE,,2/20/2021 20:20:05,1.36318E+18,1.29984E+18,Eric_OTooleMP,,,CHASINGHARMONY1,FALSE,FALSE,4.71428571,0
1.35313E+18,8.288E+17,RT @joshgerstein: JUST IN: Fed magistrate in Iowa orders release of man who allegedly led charge up Senate stairs against Cap Police Office…,FALSE,FALSE,,1/23/2021 23:39:43,1.35244E+18,64916983,joshgerstein,,,JERIWHOO,FALSE,FALSE,4.71428571,0
1.34703E+18,14188527,"RT @kateshellnutt: This theory was espoused by Michele Bachmann and other evangelical Trump supporters during a prayer call tonight, @RNS r…",FALSE,TRUE,,1/7/2021 3:51:40,1.34703E+18,49687858,kateshellnutt,,,JACKMJENKINS,FALSE,FALSE,4.71428571,0
1.3487E+18,2744078843,"RT @ThePubliusUSA: Rep. Boebert - the newly-elected, Q'Anon believing, Glock touting, Congresswoman from Colorado - must be expelled from C…",FALSE,FALSE,,1/11/2021 18:41:35,1.34863E+18,1.11383E+18,ThePubliusUSA,,,PATTYQUAIN,FALSE,FALSE,4.71428571,0
1.37749E+18,286431051,"RT @kathygriffin: Margie Taylor Greene just tweeted she stands with Matt Gaetz bc, wait for it... she doesn’t believe in conspiracy theorie…",FALSE,FALSE,,4/1/2021 5:06:36,1.37734E+18,21148293,kathygriffin,,,LAURENASTANOS,FALSE,FALSE,4.71428571,0
1.38994E+18,9.25006E+17,"RT @usambovu: Jake Tapper : ""If they're willing to lie about Joe Biden wanting to steal your hamburgers, and Q-Anon, and the Big Lie about…",FALSE,FALSE,,5/5/2021 13:29:00,1.3898E+18,1.24092E+18,usambovu,,,45_RESIGN,FALSE,FALSE,4.71428571,0
1.36944E+18,1230753355,"RT @NanciAma: This terrorist is ""too dangerous to release"". And his Q'Anon cohort @mtgreenee is too dangerous to be allowed to remain in Co…",FALSE,FALSE,,3/10/2021 0:04:14,1.36936E+18,482190681,NanciAma,,,DONOHUEMARTHA,FALSE,FALSE,4.71428571,0
1.33916E+18,370619866,"RT @awakeinaus_: Wake up Australia! What's really going on? Please, all patriots, worldwide, share this for Australia. We're all in this to…",FALSE,FALSE,,12/16/2020 10:57:27,1.27197E+18,1.25277E+18,awakeinaus_,,,GREORYLUCKIE,FALSE,FALSE,4.71428571,1
1.36468E+18,1230753355,RT @DearAuntCrabby: The problem with #MAGA'ts and #QAnon's is their brazen confidence in their own idiocracy.,FALSE,FALSE,,2/24/2021 20:35:21,1.36466E+18,1216789842,DearAuntCrabby,,,DONOHUEMARTHA,FALSE,FALSE,4.71428571,0
1.33041E+18,370619866,"RT @TotingMama: And all the sudden, people on Twitter &amp; over the world are noticing pedophilia. 👀👀👀   👀👀👀   👀👀👀 They're discussing it &amp; shi…",FALSE,FALSE,,11/22/2020 7:04:01,1.3304E+18,1.28723E+18,TotingMama,,,GREORYLUCKIE,FALSE,FALSE,4.71428571,1
1.38813E+18,1230753355,"RT @jasondogwood: Today's ""Q""Anon will come to an end &amp; be replaced by tomorrow's ""R""Anon. Like the moth who is attracted to a bright light…",FALSE,FALSE,,4/30/2021 13:44:17,1.38813E+18,46546440,jasondogwood,,,DONOHUEMARTHA,FALSE,FALSE,4.71428571,0
1.34703E+18,14188527,RT @emmillerwrites: Fact check: There is no evidence that antifa activists stormed the Capitol. https://t.co/op1beUVrIR via @nytimes,FALSE,FALSE,,1/7/2021 3:50:17,1.34703E+18,22599438,emmillerwrites,,,JACKMJENKINS,FALSE,FALSE,4.71428571,0
1.33158E+18,9.25006E+17,"RT @CultExpert: I was interviewed for this doc too and footage of my intervention with 15 year member Dick Joslyn, who had left the cult 5…",FALSE,TRUE,,11/25/2020 12:43:07,1.33157E+18,137369407,CultExpert,,,45_RESIGN,FALSE,FALSE,4.71428571,0
1.34922E+18,1.2082E+18,RT @UROCKlive1: Why was Q-Anon whacko Lauren Boebert allowed to enter the Capitol without a search after setting off the metal detector?,FALSE,FALSE,,1/13/2021 5:15:40,1.34918E+18,87983041,UROCKlive1,,,AJNAMDEPLUME,FALSE,FALSE,4.71428571,0
1.36365E+18,1449561,"RT @BazintheCity: Anyone else watching #60Minutes #QAnon story? I can't be the only one who sees it as a massive Russian PsyOps campaign, a…",FALSE,FALSE,,2/22/2021 0:59:00,1.36365E+18,8.99802E+17,BazintheCity,,,FLYSWATTER,FALSE,FALSE,4.71428571,0
